pl_name,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_rade,hostname,st_teff,st_rad,st_mass
"Kepler-1866 b",0.1016000000,0.000000,0.01570000,2.08215108,"Kepler-1866",5791.00,1.083000,1.030000
"TOI-4582 b",,0.510000,0.53000000,10.53644186,"TOI-4582",5190.00,2.500000,1.340000
"TOI-2274 b",0.0500000000,,0.02070000,2.45000000,"TOI-2274",3943.00,0.631000,0.612000
"TOI-1751 b",0.2150000000,0.327000,0.06135386,2.95078450,"TOI-1751",5970.00,1.313700,0.938200
"HATS-67 b",0.0303200000,0.057000,1.45000000,18.88716500,"HATS-67",6594.00,1.441000,1.435000
"TOI-4145 A b",0.0482300000,0.000000,0.43000000,13.30506009,"TOI-4145 A",5281.00,0.859000,0.905000
"TOI-1180 b",0.0807990000,0.000000,0.03146352,3.07200000,"TOI-1180",4738.00,0.730000,0.750000
"WASP-178 b",0.0558000000,0.000000,1.66000000,20.28829000,"WASP-178",9360.00,1.670000,2.070000
"HD 25463 b",0.0760000000,0.000000,0.02737326,2.54535814,"HD 25463",6353.00,1.418200,1.251000
"Kepler-1990 b",0.0286000000,0.000000,0.03380000,3.27000000,"Kepler-1990",5751.00,1.071000,1.028000
"Kepler-633 c",0.1624600000,0.000000,0.01850000,2.29600000,"Kepler-633",5877.00,1.265000,0.997000
"KMT-2021-BLG-0240L b",2.8000000000,,0.21000000,9.60000000,"KMT-2021-BLG-0240L",,,0.560000
"Kepler-397 c",0.4800000000,0.000000,0.09950000,6.18000000,"Kepler-397",5307.00,0.767000,0.844000
"Kepler-781 b",0.1019000000,0.000000,0.02740000,2.89000000,"Kepler-781",5162.00,0.780000,0.810000
"Kepler-1021 b",0.1034000000,0.000000,0.01900000,2.33000000,"Kepler-1021",5431.00,0.860000,0.890000
"TOI-5592 b",0.0393500000,0.062000,0.89900000,17.14974047,"TOI-5592",6237.00,1.393000,1.194000
"TOI-1338 c",0.7940000000,0.037000,0.23723493,10.30000000,"TOI-1338 A",5723.20,1.313000,1.093600
"K2-232 b",0.1035600000,0.258000,0.39800000,11.20900000,"K2-232",6154.00,1.161000,1.188000
"TRAPPIST-1 c",0.0158000000,0.006540,0.00411543,1.09700000,"TRAPPIST-1",2566.00,0.119200,0.089800
"Kepler-1952 b",0.1724000000,0.000000,0.00650000,1.23923346,"Kepler-1952",5973.00,1.305000,0.922000
"Kepler-216 c",0.1360000000,0.000000,0.02980000,3.04000000,"Kepler-216",6091.00,1.260000,1.126000
"HD 153950 b",1.2800000000,0.340000,2.95000000,13.20000000,"HD 153950",6124.00,1.280000,1.250000
"Kepler-1431 b",0.0648000000,0.000000,0.00869000,1.47000000,"Kepler-1431",5806.00,1.030000,1.030000
"GJ 806 c",0.0523000000,,0.01824884,2.28000000,"GJ 806",3600.00,0.414400,0.413000
